ISO3;Landlocked ACP;prot_EEZ0-200_%;prot_land_%;Shortfall to Marine Aichi target;Shortfall to Terrestrial Aichi target
ATG;;0.128316048557595;5.43837644732041;9.8716839514424;11.5616235526796
BHS;;0.233862112997077;13.3129442191541;9.76613788700292;3.68705578084588
BLZ;;7.39821403439829;36.6511870714688;2.60178596560171;-19.6511870714688
BRB;;0.0014164363043656;0.125060609197635;9.99858356369563;16.8749393908024
CUB;;2.67765649463737;12.3997469294235;7.32234350536263;4.60025307057649
DMA;;0.0165649945055094;21.5767756558862;9.98343500549449;-4.57677565588621
DOM;;9.08851359951687;22.9488733096287;0.911486400483126;-5.94887330962872
GRD;;0.0207121626492611;2.20585230534644;9.97928783735074;14.7941476946536
HTI;;0.00466702074676082;8.69044498456457;9.99533297925324;8.30955501543543
GUY;;0.0127518380217027;0.316803870110378;9.9872481619783;16.6831961298896
JAM;;0.754645376039707;15.8947450084487;9.24535462396029;1.10525499155134
KNA;;0.177981226399448;3.32288266812766;9.82201877360055;13.6771173318723
LCA;;0.0409631189729234;16.8446526759654;9.95903688102708;0.155347324034572
TTO;;0.635984387910267;32.4743212867576;9.36401561208973;-15.4743212867576
VCT;;0.217220630210799;22.4059596662252;9.7827793697892;-5.40595966622523
COK;;0.000739065933522922;1.35378404725221;9.99926093406648;15.6462159527478
KIR;;11.8;22.2;-1.8;-5.2
FJI;;0.924563056226331;4.43000687527514;9.07543694377367;12.5699931247249
FSM;;0.00198588285213938;4.32513876591836;9.99801411714786;12.6748612340816
HTI;;0.00466702074676082;0.316803870110378;9.99533297925324;16.6831961298896
MHL;;0.191053013477559;7.83187468494185;9.80894698652244;9.16812531505815
NIU;;0.0111741753469243;9.57260284431972;9.98882582465308;7.42739715568028
NRU;;0;0;10;17
PLW;;0.228868028384163;15.974623114099;9.77113197161584;1.02537688590101
PNG;;0.19323950455248;3.11823150516854;9.80676049544752;13.8817684948315
SLB;;0.119863716402365;2.20794149853653;9.88013628359763;14.7920585014635
TLS;;0.76133751189425;8.72446977098052;9.23866248810575;8.27553022901948
TON;;1.50510742491118;15.8879159043413;8.49489257508882;1.11208409565874
TUV;;0.00853163640695075;1.78894124788656;9.99146836359305;15.2110587521134
VUT;;2.2702354447491;4.20107980514118;7.7297645552509;12.7989201948588
WSM;;0.0850474768904284;6.7671851798882;9.91495252310957;10.2328148201118
AGO;;0.00470474282962103;6.97620683622367;9.99529525717038;10.0237931637763
BDI;yes;0;6.88827759948558;0;10.1117224005144
BEN;;0;28.0740715109462;10;-11.0740715109462
BFA;yes;0;15.467691285251;0;1.53230871474902
BWA;yes;0;29.1609012300815;0;-12.1609012300815
CAF;yes;0;18.086178939686;0;-1.08617893968597
CIV;;0.139078322090106;22.9038500547938;9.86092167790989;-5.90385005479381
CMR;;3.86218384910365;10.8620557580986;6.13781615089635;6.13794424190142
COD;;3.4030498192832;12.0756451822798;6.5969501807168;4.92435481772019
COG;;2.88006454429754;35.2395766347156;7.11993545570246;-18.2395766347156
COM;;2.30156746993268;10.1520441931787;7.69843253006732;6.84795580682127
CPV;;0;2.59842489497132;10;14.4015751050287
DJI;;0.162873086607969;1.33920180762511;9.83712691339203;15.6607981923749
ERI;;0;5.04185582053081;10;11.9581441794692
ETH;yes;0;18.3989742370051;0;-1.39897423700511
GAB;;0.980200474156943;20.4885790276177;9.01979952584306;-3.48857902761775
GHA;;0.0924704145696452;15.0541085252452;9.90752958543036;1.94589147475478
GIN;;0.523957691957263;29.2036486125461;9.47604230804274;-12.2036486125461
GMB;;0.119591883347986;4.15887544871313;9.88040811665201;12.8411245512869
GNB;;8.47162272402106;16.3708076234821;1.52837727597894;0.629192376517867
GNQ;;0.10636525748946;25.0350037708425;9.89363474251054;-8.03500377084249
KEN;;1.18736457905365;12.3708736087153;8.81263542094635;4.6291263912847
KIR;;11.8001951791629;22.2009365317656;-1.80019517916292;-5.20093653176558
LBR;;0.101563070125115;2.5089491991044;9.89843692987488;14.4910508008956
LSO;yes;0;0.542920580020295;0;16.4570794199797
MDG;;0.505108900289102;4.96605557099428;9.4948910997109;12.0339444290057
MLI;yes;0;8.37841173608671;0;8.62158826391329
MOZ;;2.20627313016183;17.2086452731776;7.79372686983817;-0.208645273177609
MRT;;4.14241603469719;0.960836591085085;5.85758396530281;16.0391634089149
MUS;;0.00387340699117779;4.52793969332269;9.99612659300882;12.4720603066773
MWI;yes;0;16.814892967393;0;0.185107032607004
NAM;;1.71413966124429;37.8484186084855;8.28586033875571;-20.8484186084855
NER;yes;0;17.6076031478609;0;-0.607603147860893
NGA;;0.0177760087850727;14.1759783102828;9.98222399121493;2.82402168971719
RWA;yes;0;9.4342714953513;0;7.5657285046487
SDN;;0.0180168046619625;1.73843609729523;9.98198319533804;15.2615639027048
SEN;;1.09563859225225;25.2023146202752;8.90436140774776;-8.20231462027522
SLE;;0.538347854885469;10.8963423144322;9.46165214511453;6.1036576855678
SOM;;1.15873030000383E-06;0.596592108442828;9.9999988412697;16.4034078915572
SSD;yes;0;20.8035721951271;0;-3.80357219512711
STP;;0.000175713272162965;0;9.99982428672784;17
SUR;;1.5388494810563;14.722905989287;8.4611505189437;2.27709401071297
SWZ;yes;0;4.02010429450663;0;12.9798957054934
